obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1745,13,3,R,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Minor,River
1744,13,3,R,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Minor,River
1740,13,3,R,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Minor,River
1740,13,2,R,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Significant,River
1740,13,3,S,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Minor,Surface water
1740,13,2,S,Cumbria,Northwest - Warrington,Cumbria,15/11/2015,Significant,Surface water
1741,24,3,R,Lancashire,Northwest - Warrington,Lancashire,15/11/2015,Minor,River
1741,24,2,R,Lancashire,Northwest - Warrington,Lancashire,15/11/2015,Significant,River
1741,24,3,S,Lancashire,Northwest - Warrington,Lancashire,15/11/2015,Minor,Surface water
1741,24,2,S,Lancashire,Northwest - Warrington,Lancashire,15/11/2015,Significant,Surface water
1738,7,3,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,15/11/2015,Minor,River
1738,7,2,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,15/11/2015,Significant,River
1738,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,15/11/2015,Minor,Surface water
1756,55,3,R,York,Northeast - Leeds,York,16/11/2015,Minor,River
1757,55,3,R,York,Northeast - Leeds,York,17/11/2015,Minor,River
1759,13,3,R,Cumbria,Northwest - Warrington,Cumbria,18/11/2015,Minor,River
1760,13,3,S,Cumbria,Northwest - Warrington,Cumbria,18/11/2015,Minor,Surface water
1761,24,3,S,Lancashire,Northwest - Warrington,Lancashire,18/11/2015,Minor,Surface water
1752,30,2,C,North Yorkshire,Northeast - Leeds,N Yorkshire,18/11/2015,Significant,Coastal \ tidal
1753,52,2,C,East Riding of Yorkshire,Northeast - Leeds,E Riding of Yorkshire,18/11/2015,Significant,Coastal \ tidal
1754,26,2,C,Lincolnshire,Anglian - Peterborough,Lincolnshire,18/11/2015,Significant,Coastal \ tidal
1758,55,3,R,York,Northeast - Leeds,York,18/11/2015,Minor,River
1758,24,3,S,Lancashire,Northwest - Warrington,Lancashire,18/11/2015,Minor,Surface water
1762,55,3,R,York,Northeast - Leeds,York,19/11/2015,Minor,River
1763,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,19/11/2015,Minor,Surface water
1764,55,3,R,York,Northeast - Leeds,York,20/11/2015,Minor,River
1766,21,3,C,Hampshire,Southeast South - Worthing,Hampshire,29/11/2015,Minor,Coastal \ tidal
1766,24,3,C,Lancashire,Northwest - Warrington,Lancashire,29/11/2015,Minor,Coastal \ tidal
1766,65,3,C,North Somerset,Southwest - Exeter,N Somerset,29/11/2015,Minor,Coastal \ tidal
1767,5,3,R,West Yorkshire,Northeast - Leeds,W Yorkshire,30/11/2015,Minor,River
1767,55,3,R,York,Northeast - Leeds,York,30/11/2015,Minor,River
1769,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,01/12/2015,Minor,River
1769,60,3,R,Herefordshire,Midlands - Solihull,Herefordshire,01/12/2015,Minor,River
1769,33,3,R,Shropshire,Midlands - Solihull,Shropshire,01/12/2015,Minor,River
1770,7,3,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,01/12/2015,Minor,River
1770,24,3,R,Lancashire,Northwest - Warrington,Lancashire,01/12/2015,Minor,River
1770,5,3,R,West Yorkshire,Northeast - Leeds,W Yorkshire,01/12/2015,Minor,River
1770,24,3,S,Lancashire,Northwest - Warrington,Lancashire,01/12/2015,Minor,Surface water
1770,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,01/12/2015,Minor,Surface water
1772,95,3,R,Ceredigion,Wales,Ceredigion,01/12/2015,Minor,River
1773,88,3,R,Isle of Anglesey,Wales,Isle of Anglesey,01/12/2015,Minor,River
1774,95,3,C,Ceredigion,Wales,Ceredigion,01/12/2015,Minor,Coastal \ tidal
1771,65,3,C,North Somerset,Southwest - Exeter,N Somerset,01/12/2015,Minor,Coastal \ tidal
1768,109,3,R,Cardiff,Wales,Cardiff,01/12/2015,Minor,River
1768,90,3,R,Conwy,Wales,Conwy,01/12/2015,Minor,River
1768,91,3,R,Denbighshire,Wales,Denbighshire,01/12/2015,Minor,River
1768,101,3,R,The Vale of Glamorgan,Wales,Vale of Glamorgan,01/12/2015,Minor,River
1768,89,2,R,Gwynedd,Wales,Gwynedd,01/12/2015,Significant,River
